Timestamp,Velocity,Accel_X,Rotate_Z,Steering_wheel_x,Accelerator,Brake,Winker(left),Winker(right),Label,Timecheck
20200722_140240_1452469464,91,-0.077441,-4.8153,-17,50,0,0,0,1,0:00:10
20200722_140240_1452486130,91,-0.141359,-5.1374,-18,50,0,0,0,1,0:00:10
20200722_140240_1452519462,91,-0.158318,-5.2687,-18,50,0,0,0,1,0:00:10
20200722_140240_1452536128,91,-0.176407,-5.5313,-18,50,0,0,0,1,0:00:10
20200722_140240_1452569460,91,-0.174924,-5.6178,-18,50,0,0,0,1,0:00:10
20200722_140240_1452602792,91,-0.144279,-5.6152,-18,50,0,0,0,1,0:00:10
20200722_140240_1452636124,91,-0.0925,-5.4122,-18,50,0,0,0,1,0:00:10
20200722_140240_1452652790,91,-0.035259,-5.1557,-18,50,0,0,0,1,0:00:10
20200722_140240_1452686122,91,-0.013784,-5.0555,-18,50,0,0,0,1,0:00:10
20200722_140240_1452719454,91,-0.005494,-4.939,-18,50,0,0,0,1,0:00:10
20200722_140240_1452752786,91,0.003532,-4.9306,-18,50,0,0,0,1,0:00:10
20200722_140240_1452786118,92,-0.045153,-5.0722,-19,50,0,0,0,1,0:00:10
20200722_140240_1452819450,92,-0.143653,-5.3594,-20,50,0,0,0,1,0:00:10
20200722_140240_1452836116,92,-0.228844,-5.7423,-20,50,0,0,0,1,0:00:10
20200722_140241_1452869448,92,-0.244822,-5.9407,-21,50,0,0,0,1,0:00:11
